"component_type","component_name","component_link","Automatic_Lighting_Adjust","BuiltIn_Lighting","Connection","Digital_Zoom","FOV_Angle","Focus_Type","Manufacturer","Model","Operating_System","Part_#_#","Privacy_Shutter","Resolution","Supports_Windows_Hello"
"Webcam","Logitech BRIO Ultra HD Pro","https://pcpartpicker.com/product/zxqBD3/logitech-brio-ultra-hd-pro-webcam-960-001105","Yes","No","USB 3.2 Gen 1 Type-A","5X","82°","Auto","Logitech","BRIO Ultra HD Pro","Windows; OS X; ChromeOS","960-001105","Yes","4k; 1080p; 720p","Yes"
"","Logitech C920s HD Pro","https://pcpartpicker.com/product/2LgQzy/logitech-c920s-hd-pro-webcam-960-001257","Yes","No","USB 2.0 Type-A","","78°","Auto","Logitech","C920s HD Pro","Windows; OS X; ChromeOS; Android","960-001257","Yes","1080p; 720p",""
"","Logitech C920 HD Pro","https://pcpartpicker.com/product/Wd2bt6/logitech-c920-hd-pro-webcam-960-000764","Yes","No","USB 2.0 Type-A","","78°","Auto","Logitech","C920 HD Pro","Windows; OS X; ChromeOS; Android","960-000764","No","1080p; 720p",""
"","Logitech C920 HD Pro","https://pcpartpicker.com/product/Wd2bt6/logitech-c920-hd-pro-webcam-960-000764","Yes","No","USB 2.0 Type-A","","78°","Auto","Logitech","C920 HD Pro","Windows; OS X; ChromeOS; Android","960-000764","No","1080p; 720p",""
"","Logitech C922 Pro Stream HD","https://pcpartpicker.com/product/DTgQzy/logitech-c922-pro-stream-hd-webcam-960-001087","Yes","No","USB 2.0 Type-A","","78°","Auto","Logitech","C922 Pro Stream HD","Windows; OS X; ChromeOS; Android","960-001087","No","1080p; 720p",""
"","Logitech C310","https://pcpartpicker.com/product/xmZzK8/logitech-c310-webcam-960-000585","Yes","No","USB 2.0 Type-A","","60°","Fixed","Logitech","C310","Windows; OS X; ChromeOS; Android","960-000585","No","720p",""
"","Logitech C925e","https://pcpartpicker.com/product/mjDkcf/logitech-c925e-webcam-960-001075","Yes","No","USB 2.0 Type-A","1.2X","78°","Auto","Logitech","C925e","Windows; OS X; Linux","960-001075","Yes","1080p; 720p",""
,Logitech C310,https://pcpartpicker.com/product/xmZzK8/logitech-c310-webcam-960-000585,Yes,No,USB 2.0 Type-A,,60°,Fixed,Logitech,C310,Windows; OS X; ChromeOS; Android,960-000585,No,720p,
,Logitech C270,https://pcpartpicker.com/product/8krYcf/logitech-c270-webcam-960-000694,Yes,No,USB 2.0 Type-A,,60°,Fixed,Logitech,C270,Windows; OS X; ChromeOS; Android,960-000694,No,720p,
,Razer Kiyo X,https://pcpartpicker.com/product/rrbTwP/razer-kiyo-x-webcam-rz19-04170100-r3u1,,No,USB 2.0 Type-A,,82°,Auto,Razer,Kiyo X,Windows,RZ19-04170100-R3U1; RZ19-04170100-R3M1; RZ19-04170100,No,1080p; 720p,,2.1 MP
